train_number,station_code,arrival_time,departure_time,distance_covered
01401,CND,09:40:00,09:41:00,735
01401,DMN,09:54:00,09:56:00,752
01401,PLO,10:10:00,10:11:00,772
01401,WR,10:42:00,10:45:00,802
01401,NGP,12:35:00,00:00:00,880
01402,NGP,00:00:00,15:00:00,0
01402,WR,16:06:00,16:09:00,79
01402,PLO,16:35:00,16:36:00,109
01402,DMN,16:53:00,16:54:00,129
01402,CND,17:10:00,17:11:00,145
01402,BD,18:40:00,18:45:00,175
01402,MZR,19:20:00,19:22:00,216
01402,AK,20:25:00,20:45:00,253
01402,WHM,21:52:00,21:53:00,332
01402,HNL,22:34:00,22:35:00,380
01402,PAU,00:20:00,00:47:00,460
01402,PBN,01:25:00,01:43:00,489
01402,PRLI,03:10:00,03:30:00,553
01402,LTRR,05:10:00,05:35:00,616
01402,LUR,06:20:00,06:30:00,648
01402,UMD,07:50:00,07:55:00,728
01402,BTW,08:28:00,08:30:00,764
01402,KWV,09:40:00,09:55:00,802
01402,MA,10:10:00,10:11:00,817
01402,MO,10:35:00,10:36:00,847
01402,SUR,11:35:00,00:00:00,880
01419,KOP,00:00:00,15:45:00,0
01419,RKD,15:55:00,15:56:00,14
01419,HTK,16:06:00,16:07:00,21
01419,MRJ,16:50:00,17:05:00,48
01419,KVK,17:55:00,17:56:00,93
01419,DLGN,18:10:00,18:11:00,109
01419,SGLA,18:43:00,18:45:00,155
01419,PVR,19:10:00,19:15:00,184
01419,MLB,19:46:00,19:47:00,215
01419,KWV,20:15:00,20:25:00,237
01419,BTW,21:02:00,21:04:00,274
01419,UMD,21:43:00,21:46:00,311
01419,LUR,23:05:00,23:10:00,390
01419,LTRR,00:50:00,01:15:00,423
01419,PNF,01:50:00,01:52:00,431
01419,PRLI,03:40:00,04:10:00,486
01419,GNH,04:24:00,04:26:00,491
01419,PBN,05:10:00,05:15:00,550
01419,PAU,06:15:00,00:00:00,578
01420,PAU,00:00:00,09:20:00,0
01420,PBN,09:56:00,10:00:00,29
01420,GNH,10:34:00,10:36:00,63
01420,PRLI,11:10:00,11:30:00,93
01420,PNF,12:25:00,12:27:00,128
01420,LTRR,13:35:00,14:00:00,156
01420,LUR,14:32:00,14:37:00,189
01420,UMD,15:56:00,15:59:00,268
01420,BTW,16:38:00,16:40:00,304
01420,KWV,17:35:00,17:45:00,342
01420,MLB,18:08:00,18:09:00,364
01420,PVR,18:40:00,18:45:00,394
01420,SGLA,19:11:00,19:13:00,424
01420,DLGN,19:49:00,19:50:00,469
01420,KVK,20:05:00,20:06:00,485
01420,MRJ,22:20:00,22:45:00,531
01420,HTK,23:17:00,23:18:00,557
01420,RKD,23:25:00,23:26:00,564
01420,KOP,00:35:00,00:00:00,578
01427,MRJ,00:00:00,14:40:00,0
01427,ARAG,15:01:00,15:02:00,18
01427,SGRE,15:18:00,15:19:00,34
01427,KVK,15:28:00,15:29:00,46
01427,DLGN,15:40:00,15:42:00,62
01427,JTRD,15:53:00,15:54:00,80
01427,SGLA,16:12:00,16:14:00,108
01427,PVR,17:25:00,00:00:00,137
01428,PVR,00:00:00,10:10:00,0
01428,SGLA,10:36:00,10:38:00,30
01428,JTRD,11:00:00,11:01:00,58
01428,DLGN,11:14:00,11:16:00,76
01428,KVK,11:28:00,11:30:00,92
01428,SGRE,11:38:00,11:40:00,103
01428,ARAG,11:53:00,11:55:00,120
01428,MRJ,13:30:00,00:00:00,137
01655,PUNE,00:00:00,10:45:00,0
01655,DD,12:05:00,12:15:00,76
01655,ANG,13:58:00,14:00:00,160
01655,KPG,15:58:00,16:00:00,271
01655,MMR,17:20:00,17:25:00,313
01655,BSL,20:10:00,20:20:00,497
01655,KNW,23:40:00,23:45:00,620
01655,HD,00:55:00,00:57:00,728
01655,ET,02:20:00,02:30:00,804
01655,PPI,03:18:00,03:20:00,871
01655,NU,04:38:00,04:40:00,965
01655,MML,06:07:00,06:09:00,1045
01655,JBP,06:15:00,00:00:00,1049
01656,JBP,00:00:00,09:00:00,0
01656,MML,09:06:00,09:08:00,4
01656,NU,10:13:00,10:15:00,85
01656,PPI,11:23:00,11:25:00,178
01656,ET,12:45:00,12:55:00,246
01656,HD,13:45:00,13:47:00,321
01656,KNW,15:20:00,15:25:00,429
01656,BSL,16:50:00,17:00:00,553
01656,MMR,19:45:00,19:50:00,737
01656,KPG,20:53:00,20:55:00,778
01656,ANG,22:57:00,23:00:00,889
01656,DD,01:55:00,02:10:00,973
01656,PUNE,04:05:00,00:00:00,1049
01711,CSTM,00:00:00,11:05:00,0
01711,DR,11:17:00,11:20:00,9
01711,KYN,11:57:00,12:00:00,54
01711,IGP,14:00:00,14:15:00,137
01711,NK,15:05:00,15:10:00,188
01711,MMR,16:18:00,16:20:00,261
01711,BSL,18:30:00,18:45:00,445
01711,KNW,22:14:00,22:15:00,568
01711,HD,23:30:00,23:32:00,676
01711,ET,01:50:00,02:00:00,752
01711,PPI,02:55:00,02:57:00,819
01711,GAR,03:30:00,03:32:00,868
01711,NU,04:00:00,04:02:00,913
01711,MML,05:00:00,05:02:00,993
01711,JBP,05:10:00,00:00:00,997
01712,JBP,00:00:00,22:15:00,0
01712,MML,22:21:00,22:23:00,4
01712,NU,23:28:00,23:30:00,85
01712,GAR,00:02:00,00:04:00,114
01712,PPI,00:35:00,00:37:00,178
01712,ET,02:10:00,02:20:00,246
01712,HD,03:08:00,03:10:00,321
01712,KNW,05:15:00,05:20:00,429
01712,BSL,06:50:00,07:00:00,553
01712,JL,07:25:00,07:28:00,577
01712,MMR,09:10:00,09:13:00,737
01712,NK,10:10:00,10:13:00,810
01712,IGP,11:30:00,11:40:00,860
01712,KYN,13:55:00,13:58:00,943
01712,TNA,14:15:00,14:18:00,964
01712,LTT,14:50:00,00:00:00,981
01713,LTT,00:00:00,16:40:00,0
01713,TNA,16:58:00,17:00:00,18
01713,KYN,17:17:00,17:20:00,38
01713,IGP,20:00:00,20:05:00,121
01713,NK,20:40:00,20:45:00,172
01713,BSL,23:55:00,00:05:00,429
01713,KNW,02:30:00,02:35:00,552
01713,HD,03:45:00,03:47:00,660
01713,ET,05:25:00,05:30:00,736
01713,HBD,05:46:00,05:48:00,753
01713,HBJ,07:20:00,00:00:00,821
01714,HBJ,00:00:00,15:20:00,0
01714,HBD,16:30:00,16:32:00,68
01714,ET,17:10:00,17:20:00,86
01714,HD,18:30:00,18:32:00,162
01714,KNW,20:03:00,20:05:00,270
01714,BSL,21:40:00,21:50:00,393
01714,JL,22:08:00,22:10:00,417
01714,NK,00:55:00,01:00:00,650
01714,IGP,02:20:00,02:35:00,701
01714,KYN,04:55:00,04:58:00,784
01714,TNA,05:20:00,05:23:00,804
01714,DR,05:45:00,05:48:00,828
01714,CSTM,06:15:00,00:00:00,837
02111,LTT,00:00:00,14:20:00,0
02111,TNA,14:43:00,14:45:00,18
02111,KYN,15:05:00,15:07:00,38
02111,NK,17:27:00,17:30:00,172
02111,JL,19:53:00,19:55:00,405
02111,BSL,20:20:00,20:30:00,429
02111,KNW,22:58:00,23:00:00,552
02111,HBJ,03:18:00,03:20:00,821
02111,BINA,05:33:00,05:35:00,966
02111,JHS,07:25:00,07:35:00,1118
02111,ORAI,08:53:00,08:55:00,1232
02111,CNB,11:45:00,12:05:00,1338
02111,LKO,13:35:00,00:00:00,1412
02112,LKO,00:00:00,16:20:00,0
02112,CNB,17:55:00,18:05:00,74
02112,ORAI,19:33:00,19:35:00,180
02112,JHS,21:45:00,21:55:00,294
02112,HBJ,03:58:00,04:00:00,591
02112,BSL,10:20:00,10:30:00,983
02112,JL,10:53:00,10:55:00,1008
02112,NK,13:27:00,13:30:00,1240
02112,KYN,16:17:00,16:20:00,1374
02112,TNA,16:43:00,16:45:00,1395
02112,LTT,17:30:00,00:00:00,1412
02509,BNC,00:00:00,10:15:00,0
02509,KPD,13:45:00,13:47:00,228
02509,MAS,15:55:00,16:25:00,357
02509,BZA,23:45:00,23:55:00,787
02509,DVD,04:40:00,04:42:00,1120
02509,VZM,06:05:00,06:20:00,1185
02509,KUR,11:10:00,11:25:00,1548
02509,BBS,11:45:00,11:50:00,1567
02509,BHC,14:19:00,14:20:00,1710
02509,KGP,16:35:00,16:37:00,1891
02509,HWH,18:30:00,18:50:00,2006
02509,RPH,21:46:00,21:48:00,2212
02509,MLDT,00:30:00,00:40:00,2333
02509,KNE,02:27:00,02:29:00,2479
02509,NJP,04:15:00,04:25:00,2566
02509,NBQ,08:20:00,08:22:00,2817
02509,KYQ,11:25:00,00:00:00,3019
02510,KYQ,00:00:00,20:30:00,0
02510,GLPT,22:00:00,22:01:00,122
02510,NBQ,23:00:00,23:02:00,202
02510,NJP,02:35:00,02:45:00,454
02510,KNE,03:49:00,03:51:00,541
02510,MLDT,06:40:00,06:50:00,686
02510,RPH,09:10:00,09:12:00,807
02510,HWH,12:20:00,12:40:00,1014
02510,KGP,14:25:00,14:27:00,1129
02510,BHC,17:30:00,17:31:00,1310
02510,BBS,19:10:00,19:15:00,1453
02510,KUR,19:50:00,20:00:00,1472
02510,PSA,23:09:00,23:10:00,1692
02510,VZM,00:50:00,01:00:00,1834
02510,DVD,03:03:00,03:05:00,1900
02510,BZA,07:50:00,08:00:00,2232
02510,MAS,14:50:00,15:15:00,2662
02510,KPD,17:15:00,17:17:00,2792
02510,BNC,21:15:00,00:00:00,3019
02511,PUNE,00:00:00,10:30:00,0
02511,PNVL,13:00:00,13:05:00,121
02511,NK,16:27:00,16:32:00,291
02511,NGP,01:20:00,01:30:00,941
02511,G,03:51:00,03:53:00,1070
02511,DURG,06:35:00,06:40:00,1204
02511,R,07:35:00,07:45:00,1241
02511,BSP,09:45:00,09:55:00,1351
02511,JSG,13:30:00,13:35:00,1557
02511,ROU,14:50:00,15:05:00,1658
02511,CKP,16:30:00,16:35:00,1759
02511,PRR,18:20:00,18:22:00,1878
02511,JOC,19:10:00,19:12:00,1917
02511,ASN,20:10:00,20:20:00,1954
02511,UDL,21:35:00,22:05:00,1979
02511,RPH,00:38:00,00:40:00,2081
02511,MLDT,04:00:00,04:10:00,2202
02511,KNE,06:01:00,06:03:00,2347
02511,NJP,07:45:00,08:00:00,2434
02511,RQJ,08:29:00,08:30:00,2461
02511,NCB,09:50:00,09:52:00,2561
02511,NOQ,10:25:00,10:27:00,2579
02511,NBQ,12:35:00,12:37:00,2686
02511,GLPT,13:18:00,13:20:00,2766
02511,KYQ,15:25:00,00:00:00,2888
02512,KYQ,00:00:00,22:05:00,0
02512,GLPT,23:32:00,23:34:00,122
02512,NBQ,00:38:00,00:40:00,202
02512,NOQ,01:56:00,01:58:00,309
02512,NCB,02:23:00,02:25:00,327
02512,RQJ,04:25:00,04:26:00,427
02512,NJP,05:30:00,05:50:00,454
02512,KNE,07:16:00,07:18:00,541
02512,MLDT,11:05:00,11:10:00,686
02512,RPH,13:28:00,13:30:00,807
02512,UDL,16:40:00,17:05:00,909
02512,ASN,17:30:00,17:40:00,934
02512,JOC,18:35:00,18:40:00,971
02512,PRR,19:20:00,19:22:00,1010
02512,CKP,21:00:00,21:05:00,1129
02512,ROU,22:40:00,22:45:00,1230
02512,JSG,00:13:00,00:15:00,1331
02512,BSP,03:15:00,03:30:00,1537
02512,R,05:10:00,05:20:00,1647
02512,DURG,06:15:00,06:20:00,1684
02512,G,08:30:00,08:35:00,1818
02512,NGP,11:15:00,11:25:00,1948
02512,NK,19:25:00,19:30:00,2340
02512,PNVL,23:35:00,23:40:00,2768
02512,PUNE,02:45:00,00:00:00,2888
02590,SC,00:00:00,21:40:00,0
02590,KZJ,23:57:00,23:59:00,132
02590,BPQ,04:10:00,04:20:00,367
02590,NGP,07:35:00,07:45:00,578
02590,ET,13:10:00,13:20:00,875
02590,HBJ,14:40:00,14:45:00,960
02590,JHS,19:20:00,19:30:00,1257
02590,CNB,01:00:00,01:10:00,1477
02590,LJN,02:25:00,02:35:00,1551
02590,GD,05:05:00,05:10:00,1667
02590,BST,06:45:00,06:50:00,1757
02590,GKP,08:15:00,00:00:00,1821
02779,VSG,00:00:00,15:10:00,0
02779,MAO,15:45:00,15:50:00,28
02779,SVM,15:58:00,16:00:00,44
02779,QLM,16:30:00,16:35:00,62
02779,CLR,17:35:00,17:40:00,121
02779,LD,18:35:00,19:50:00,146
02779,LWR,20:43:00,20:45:00,179
02779,DWR,21:43:00,21:45:00,216
02779,UBL,22:35:00,22:45:00,236
02779,HVR,23:49:00,23:50:00,311
02779,RNR,00:19:00,00:20:00,344
02779,HRR,00:43:00,00:45:00,367
02779,DVG,01:07:00,01:10:00,380
02779,JRU,01:30:00,01:31:00,426
02779,RRB,02:48:00,02:50:00,495
02779,DRU,02:59:00,03:00:00,501
02779,ASK,03:45:00,03:50:00,540
02779,TTR,04:16:00,04:17:00,565
02779,AMSA,04:44:00,04:45:00,592
02779,TK,05:38:00,05:40:00,636
02779,YPR,06:43:00,06:45:00,700
02779,SBC,07:00:00,00:00:00,705
02853,HWH,00:00:00,17:00:00,0
02853,KGP,18:59:00,19:00:00,116
02853,BBS,23:30:00,23:35:00,439
02853,VSKP,06:10:00,06:30:00,882
02853,BZA,12:10:00,12:25:00,1232
02853,KPD,20:18:00,20:20:00,1741
02853,CBE,01:40:00,01:45:00,2108
02853,ERS,06:00:00,00:00:00,2314
02873,VSKP,00:00:00,16:45:00,0
02873,DVD,17:15:00,17:17:00,18
02873,AKP,17:30:00,17:32:00,34
02873,SLO,18:45:00,18:47:00,151
02873,RJY,19:43:00,19:45:00,201
02873,BZA,22:25:00,22:35:00,351
02873,RU,04:10:00,04:12:00,727
02873,TPTY,04:30:00,00:00:00,736
02874,TPTY,00:00:00,16:00:00,0
02874,RU,16:10:00,16:12:00,10
02874,BZA,22:05:00,22:15:00,386
02874,RJY,00:33:00,00:35:00,536
02874,SLO,01:20:00,01:22:00,586
02874,AKP,04:00:00,04:02:00,703
02874,DVD,04:43:00,04:45:00,719
02874,VSKP,05:15:00,00:00:00,736
02877,VSKP,00:00:00,19:00:00,0
02877,DVD,19:30:00,19:32:00,18
02877,SLO,21:08:00,21:10:00,151
02877,RJY,21:55:00,21:57:00,201
02877,EE,23:08:00,23:10:00,291
02877,BZA,00:45:00,01:00:00,351
02877,OGL,02:52:00,02:54:00,489
02877,NLR,04:10:00,04:12:00,605
02877,GDR,05:50:00,05:52:00,644
02877,RU,07:45:00,08:00:00,727
02877,KPD,10:15:00,10:20:00,860
02877,JTJ,11:30:00,11:35:00,943
02877,KJM,14:00:00,00:00:00,1077
02878,KJM,00:00:00,17:10:00,0
02878,JTJ,19:40:00,19:45:00,135
02878,KPD,21:00:00,21:05:00,218
02878,RU,23:20:00,23:25:00,351
02878,GDR,01:05:00,01:07:00,434
02878,NLR,01:37:00,01:39:00,473
02878,OGL,03:20:00,03:22:00,589
02878,BZA,05:40:00,05:55:00,727
02878,EE,06:38:00,06:40:00,787
02878,RJY,08:48:00,08:50:00,877
02878,SLO,09:35:00,09:37:00,927
02878,DVD,11:53:00,11:55:00,1060
02878,VSKP,12:25:00,00:00:00,1077
02882,BBS,00:00:00,22:15:00,0
02882,BAM,00:45:00,00:47:00,166
02882,VSKP,04:40:00,05:00:00,443
02882,BZA,10:40:00,11:00:00,793
02882,SC,16:10:00,16:20:00,1106
02882,SUR,23:40:00,23:50:00,1439
02882,PUNE,05:00:00,00:00:00,1703
03235,SBG,00:00:00,14:25:00,0
03235,PPT,14:44:00,14:45:00,24
03235,CLG,15:07:00,15:08:00,44
03235,EKC,15:16:00,15:17:00,49
03235,GGA,15:25:00,15:26:00,54
03235,BGP,15:52:00,16:07:00,75
03235,AKN,16:20:00,16:21:00,89
03235,SGG,16:32:00,16:33:00,99
03235,BUP,16:54:00,16:55:00,117
03235,JMP,17:10:00,17:15:00,128
03235,DRH,17:27:00,17:28:00,139
03235,AHA,17:40:00,17:41:00,150
03235,KJH,17:51:00,17:52:00,157
03235,KIUL,18:50:00,19:05:00,173
03235,LKR,19:12:00,19:13:00,174
03235,BRYA,19:32:00,19:33:00,189
03235,HTZ,19:43:00,19:44:00,200
03235,MKA,19:56:00,19:58:00,207
03235,BARH,20:17:00,20:18:00,232
03235,ATL,20:29:00,20:30:00,242
03235,BKP,20:40:00,20:42:00,250
03235,KOO,21:47:00,21:48:00,265
03235,FUT,21:57:00,21:58:00,274
03235,PNC,22:21:00,22:22:00,286
03235,RJPB,22:46:00,22:48:00,293
03235,PNBE,23:10:00,23:20:00,296
03235,DNR,23:35:00,00:00:00,306
03236,DNR,00:00:00,05:05:00,0
03236,PNBE,05:20:00,05:30:00,10
03236,RJPB,05:37:00,05:39:00,13
03236,PNC,05:49:00,05:50:00,20
03236,FUT,06:03:00,06:04:00,32
03236,KOO,06:13:00,06:14:00,41
03236,KWO,06:21:00,06:22:00,47
03236,BKP,06:32:00,06:34:00,56
03236,ATL,06:40:00,06:41:00,64
03236,BARH,07:37:00,07:38:00,74
03236,MKA,07:59:00,08:01:00,99
03236,HTZ,08:09:00,08:10:00,106
03236,BRYA,08:20:00,08:21:00,117
03236,DMRX,08:27:00,08:28:00,121
03236,LKR,08:41:00,08:42:00,132
03236,KIUL,08:52:00,08:57:00,133
03236,KJH,09:14:00,09:15:00,149
03236,AHA,09:25:00,09:26:00,156
03236,DRH,09:38:00,09:39:00,167
03236,JMP,09:56:00,10:01:00,178
03236,BUP,10:13:00,10:14:00,189
03236,SGG,10:35:00,10:36:00,207
03236,AKN,10:47:00,10:48:00,217
03236,BGP,11:07:00,11:17:00,231
03236,GGA,11:37:00,11:38:00,252
03236,EKC,11:46:00,11:47:00,257
03236,CLG,11:55:00,11:56:00,262
03236,PPT,12:18:00,12:19:00,282
03236,SBG,13:05:00,00:00:00,306
03401,BGP,00:00:00,05:35:00,0
03401,NAT,05:42:00,05:43:00,4
03401,AKN,05:53:00,05:54:00,15
03401,SGG,06:04:00,06:05:00,25
03401,KPRD,06:19:00,06:20:00,38
03401,BUP,06:29:00,06:30:00,43
03401,RPUR,06:37:00,06:38:00,47
03401,JMP,06:49:00,06:51:00,53
03401,DRH,07:03:00,07:04:00,65
03401,MSDN,07:12:00,07:13:00,71
03401,AHA,07:20:00,07:21:00,75
03401,KJH,07:30:00,07:31:00,83
03401,UREN,07:38:00,07:39:00,87
03401,DNRE,07:47:00,07:48:00,93
03401,KIUL,08:23:00,08:25:00,99
03401,LKR,08:32:00,08:33:00,100
03401,BRYA,08:47:00,08:48:00,115
03401,HTZ,08:58:00,08:59:00,125
03401,MKA,09:10:00,09:12:00,133
03401,PHK,09:23:00,09:24:00,148
03401,BARH,09:34:00,09:35:00,158
03401,BKP,09:51:00,09:53:00,176
03401,FUT,10:09:00,10:10:00,200
03401,PNC,10:22:00,10:23:00,212
03401,RJPB,10:32:00,10:34:00,219
03401,PNBE,11:15:00,11:25:00,222
03401,DNR,12:40:00,00:00:00,231
03402,DNR,00:00:00,16:15:00,0
03402,PNBE,16:30:00,16:40:00,10
03402,RJPB,16:47:00,16:49:00,13
03402,PNC,16:59:00,17:00:00,20
03402,FUT,17:12:00,17:13:00,32
03402,BKP,17:31:00,17:33:00,56
03402,BARH,17:51:00,17:52:00,74
03402,PHK,18:09:00,18:10:00,84
03402,MKA,18:35:00,18:37:00,99
03402,HTZ,18:45:00,18:46:00,106
03402,BRYA,19:10:00,19:11:00,117
03402,LKR,19:25:00,19:26:00,132
03402,KIUL,19:36:00,19:38:00,133
03402,DNRE,19:54:00,19:55:00,139
03402,UREN,20:03:00,20:04:00,145
03402,KJH,20:11:00,20:12:00,149
03402,AHA,20:21:00,20:22:00,156
03402,MSDN,20:29:00,20:30:00,161
03402,DRH,20:38:00,20:39:00,167
03402,JMP,20:53:00,20:55:00,178
03402,RPUR,21:04:00,21:05:00,185
03402,BUP,21:12:00,21:13:00,189
03402,KPRD,21:22:00,21:23:00,194
03402,SGG,21:37:00,21:38:00,207
03402,AKN,21:48:00,21:49:00,217
03402,NAT,21:59:00,22:00:00,228
03402,BGP,22:25:00,00:00:00,231
04401,ANVT,00:00:00,21:00:00,0
04401,GZB,21:35:00,21:37:00,13
04401,MTC,22:30:00,22:40:00,60
04401,MOZ,23:43:00,23:45:00,116
04401,SRE,01:00:00,01:05:00,174
04401,UMB,02:25:00,02:33:00,255
04401,LDH,04:25:00,04:35:00,369
04401,JRC,05:35:00,05:40:00,421
04401,PTKC,07:25:00,07:30:00,534
04401,JAT,09:45:00,09:55:00,633
04401,UHP,11:40:00,11:45:00,686
04401,SVDK,12:20:00,00:00:00,711
04402,SVDK,00:00:00,14:10:00,0
04402,UHP,14:35:00,14:40:00,25
04402,JAT,15:40:00,15:50:00,78
04402,PTKC,18:05:00,18:10:00,178
04402,JRC,20:35:00,20:40:00,291
04402,LDH,21:40:00,21:50:00,343
04402,UMB,23:50:00,23:58:00,456
04402,SRE,02:00:00,02:05:00,538
04402,MOZ,03:40:00,03:42:00,596
04402,MTC,04:28:00,04:33:00,651
04402,GZB,05:25:00,05:27:00,698
04402,ANVT,06:00:00,00:00:00,711
04403,LKO,00:00:00,06:50:00,0
04403,BE,10:40:00,10:42:00,236
04403,MB,13:00:00,13:05:00,326
04403,GZB,15:15:00,15:17:00,467
04403,ANVT,15:50:00,00:00:00,480
04404,ANVT,00:00:00,19:35:00,0
04404,GZB,20:05:00,20:07:00,13
04404,MB,22:35:00,22:40:00,154
04404,BE,00:05:00,00:07:00,245
04404,LKO,04:40:00,00:00:00,480
04405,LKO,00:00:00,06:50:00,0
04405,BE,10:40:00,10:42:00,236
04405,MB,13:00:00,13:05:00,326
04405,GZB,15:15:00,15:17:00,467
04405,NDLS,16:00:00,00:00:00,493
04406,NDLS,00:00:00,19:25:00,0
04406,GZB,20:05:00,20:07:00,26
04406,MB,22:35:00,22:40:00,167
04406,BE,00:05:00,00:07:00,258
04406,LKO,04:40:00,00:00:00,493
04407,DBG,00:00:00,12:00:00,0
04407,SPJ,13:00:00,13:20:00,38
04407,MFP,14:30:00,14:35:00,90
04407,HJP,15:30:00,15:35:00,143
04407,CPR,17:30:00,17:35:00,203
04407,SV,18:35:00,18:40:00,263
04407,DEOS,19:25:00,19:30:00,333
04407,GKP,20:25:00,20:35:00,383
04407,BST,21:30:00,21:35:00,447
04407,GD,23:30:00,23:35:00,536
04407,LKO,02:25:00,02:35:00,653
04407,BE,07:02:00,07:04:00,888
04407,MB,09:40:00,09:50:00,979
04407,DLI,12:40:00,00:00:00,1140
04408,DLI,00:00:00,11:15:00,0
04408,MB,13:55:00,14:00:00,161
04408,BE,15:19:00,15:21:00,252
04408,LKO,18:40:00,18:50:00,487
04408,GD,21:00:00,21:05:00,604
04408,BST,22:25:00,22:30:00,693
04408,GKP,00:05:00,00:15:00,758
04408,DEOS,01:05:00,01:10:00,807
04408,SV,02:00:00,02:05:00,877
04408,CPR,03:40:00,03:45:00,937
04408,HJP,04:40:00,04:45:00,997
04408,MFP,05:40:00,05:45:00,1050
04408,SPJ,06:30:00,06:50:00,1102
04408,DBG,08:30:00,00:00:00,1140
04413,DEE,00:00:00,22:55:00,0
04413,ROK,00:14:00,00:16:00,69
04413,JIND,01:05:00,01:07:00,126
